Day,daily_new_cases,daily_recovered_cases,new_deaths,infectious,cumulative_cases,cumulative_infectious,cumulative_recovered,cumulative_deaths,school_closures,workplace_closures,cancel_public_events,restriction_gatherings,stay_home_requirements,facial_coverings,public_information_campaigns,close_public_transport,restrictions_internal_movements,international_travel_controls,testing_policy,contact_tracing,vaccination_policy,childhood_vaccine_availability,vaccine_eligibility_age,income_support,debt_relief,vaccine_eligibility_age_categorical
2020-11-06,688,884,16,23663,318415,5391022,294752,2674,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-07,212,680,8,23195,318627,5414217,295432,2682,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-08,534,678,7,23051,319161,5437268,296110,2689,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-09,722,917,8,22856,319883,5460124,297027,2697,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-10,674,335,10,23195,320557,5483319,297362,2707,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-11,768,1077,7,22886,321325,5506205,298439,2714,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-12,836,1198,12,22524,322161,5528729,299637,2726,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-13,760,731,5,22553,322921,5551282,300368,2731,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-14,291,418,11,22426,323212,5573708,300786,2742,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-15,626,960,14,22092,323838,5595800,301746,2756,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-16,874,652,9,22314,324712,5618114,302398,2765,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-17,830,576,12,22568,325542,5640682,302974,2777,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-18,796,786,7,22578,326338,5663260,303760,2784,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-19,770,747,8,22601,327108,5685861,304507,2792,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-20,772,665,6,22708,327880,5708569,305172,2798,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-21,423,446,12,22685,328303,5731254,305618,2810,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-22,763,991,16,22457,329066,5753711,306609,2826,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-23,961,652,7,22766,330027,5776477,307261,2833,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-24,859,540,5,23085,330886,5799562,307801,2838,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-25,1082,836,5,23331,331968,5822893,308637,2843,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-26,1083,918,9,23496,333051,5846389,309555,2852,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-27,1033,677,7,23852,334084,5870241,310232,2859,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-28,581,410,9,24023,334665,5894264,310642,2868,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-29,1026,1095,10,23954,335691,5918218,311737,2878,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-30,1257,725,6,24486,336948,5942704,312462,2884,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-12-01,1199,694,10,24991,338147,5967695,313156,2894,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-12-02,1588,829,5,25750,339735,5993445,313985,2899,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-12-03,1448,1419,10,25779,341183,6019224,315404,2909,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-12-04,1515,859,9,26435,342698,6045659,316263,2918,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
